League,Date,Time,Home Team,Away Team
eliteserien,21.10. 2023,18:30,Bodo/Glimt,Sandefjord
eliteserien,21.10. 2023,21:30,Brann,Molde
eliteserien,22.10. 2023,18:00,Lillestrom,Valerenga
eliteserien,22.10. 2023,20:30,Aalesund,Sarpsborg 08
eliteserien,22.10. 2023,20:30,HamKam,Haugesund
eliteserien,22.10. 2023,20:30,Rosenborg,Stabaek
eliteserien,22.10. 2023,20:30,Stromsgodset,Odd
eliteserien,22.10. 2023,22:45,Viking,Tromso
eliteserien,28.10. 2023,21:30,Haugesund,Aalesund
eliteserien,29.10. 2023,21:30,Odd,HamKam
eliteserien,29.10. 2023,21:30,Sandefjord,Brann
eliteserien,29.10. 2023,21:30,Sarpsborg 08,Stabaek
eliteserien,29.10. 2023,21:30,Stromsgodset,Viking
eliteserien,29.10. 2023,23:45,Valerenga,Rosenborg
eliteserien,30.10. 2023,23:00,Bodo/Glimt,Lillestrom
eliteserien,31.10. 2023,01:30,Molde,Tromso
eliteserien,04.11. 2023,22:30,HamKam,Viking
eliteserien,05.11. 2023,21:30,Brann,Odd
eliteserien,05.11. 2023,21:30,Lillestrom,Haugesund
eliteserien,05.11. 2023,21:30,Rosenborg,Molde
eliteserien,05.11. 2023,21:30,Sarpsborg 08,Valerenga
eliteserien,05.11. 2023,21:30,Stabaek,Bodo/Glimt
eliteserien,05.11. 2023,23:45,Tromso,Stromsgodset
eliteserien,06.11. 2023,23:30,Aalesund,Sandefjord
eliteserien,11.11. 2023,22:30,Haugesund,Brann
eliteserien,12.11. 2023,21:30,Bodo/Glimt,Aalesund
eliteserien,12.11. 2023,21:30,Odd,Tromso
eliteserien,12.11. 2023,21:30,Sandefjord,Rosenborg
eliteserien,12.11. 2023,21:30,Stromsgodset,HamKam
eliteserien,12.11. 2023,21:30,Valerenga,Stabaek
eliteserien,12.11. 2023,21:30,Viking,Sarpsborg 08
eliteserien,12.11. 2023,23:45,Molde,Lillestrom
eliteserien,26.11. 2023,21:30,Aalesund,Viking
eliteserien,26.11. 2023,21:30,Brann,Bodo/Glimt
eliteserien,26.11. 2023,21:30,HamKam,Valerenga
eliteserien,26.11. 2023,21:30,Lillestrom,Odd
eliteserien,26.11. 2023,21:30,Rosenborg,Stromsgodset
eliteserien,26.11. 2023,21:30,Sarpsborg 08,Molde
eliteserien,26.11. 2023,21:30,Stabaek,Sandefjord
eliteserien,26.11. 2023,21:30,Tromso,Haugesund
eliteserien,03.12. 2023,21:30,Bodo/Glimt,Sarpsborg 08
eliteserien,03.12. 2023,21:30,Haugesund,Stabaek
eliteserien,03.12. 2023,21:30,Molde,HamKam
eliteserien,03.12. 2023,21:30,Odd,Aalesund
eliteserien,03.12. 2023,21:30,Sandefjord,Lillestrom
eliteserien,03.12. 2023,21:30,Stromsgodset,Brann
eliteserien,03.12. 2023,21:30,Valerenga,Tromso
eliteserien,03.12. 2023,21:30,Viking,Rosenborg
obos-ligaen,21.10. 2023,18:30,Hodd,Sogndal
obos-ligaen,21.10. 2023,18:30,Jerv,Kongsvinger
obos-ligaen,21.10. 2023,18:30,Kristiansund,Asane
obos-ligaen,21.10. 2023,18:30,Mjondalen,Start
obos-ligaen,21.10. 2023,18:30,Sandnes,Fredrikstad
obos-ligaen,22.10. 2023,18:30,Bryne,Skeid
obos-ligaen,22.10. 2023,18:30,KFUM Oslo,Raufoss
obos-ligaen,22.10. 2023,18:30,Moss,Ranheim
obos-ligaen,28.10. 2023,18:30,Ranheim,Kristiansund
obos-ligaen,28.10. 2023,18:30,Skeid,Jerv
obos-ligaen,28.10. 2023,18:30,Sogndal,KFUM Oslo
obos-ligaen,29.10. 2023,19:30,Asane,Moss
obos-ligaen,29.10. 2023,19:30,Fredrikstad,Mjondalen
obos-ligaen,29.10. 2023,19:30,Kongsvinger,Sandnes
obos-ligaen,29.10. 2023,19:30,Raufoss,Hodd
obos-ligaen,29.10. 2023,19:30,Start,Bryne
obos-ligaen,05.11. 2023,19:30,Bryne,Sogndal
obos-ligaen,05.11. 2023,19:30,Hodd,Start
obos-ligaen,05.11. 2023,19:30,Jerv,Asane
obos-ligaen,05.11. 2023,19:30,KFUM Oslo,Skeid
obos-ligaen,05.11. 2023,19:30,Kristiansund,Raufoss
obos-ligaen,05.11. 2023,19:30,Mjondalen,Kongsvinger
obos-ligaen,05.11. 2023,19:30,Moss,Fredrikstad
obos-ligaen,05.11. 2023,19:30,Sandnes,Ranheim
obos-ligaen,12.11. 2023,19:00,Asane,Sandnes
obos-ligaen,12.11. 2023,19:00,Fredrikstad,Jerv
obos-ligaen,12.11. 2023,19:00,Kongsvinger,Moss
obos-ligaen,12.11. 2023,19:00,Ranheim,Hodd
obos-ligaen,12.11. 2023,19:00,Raufoss,Bryne
obos-ligaen,12.11. 2023,19:00,Skeid,Kristiansund
obos-ligaen,12.11. 2023,19:00,Sogndal,Mjondalen
obos-ligaen,12.11. 2023,19:00,Start,KFUM Oslo
mls,15.10. 2023,06:00,FC Dallas,Colorado Rapids
mls,15.10. 2023,06:00,Nashville SC,New England Revolution
mls,15.10. 2023,08:00,Los Angeles Galaxy,Real Salt Lake
mls,19.10. 2023,05:30,Inter Miami,Charlotte
mls,22.10. 2023,03:30,Charlotte,Inter Miami
mls,22.10. 2023,03:30,Columbus Crew,CF Montreal
mls,22.10. 2023,03:30,FC Cincinnati,Atlanta Utd
mls,22.10. 2023,03:30,Nashville SC,New York Red Bulls
mls,22.10. 2023,03:30,New England Revolution,Philadelphia Union
mls,22.10. 2023,03:30,New York City,Chicago Fire
mls,22.10. 2023,03:30,Toronto FC,Orlando City
mls,22.10. 2023,06:30,Colorado Rapids,Real Salt Lake
mls,22.10. 2023,06:30,Los Angeles Galaxy,FC Dallas
mls,22.10. 2023,06:30,Portland Timbers,Houston Dynamo
mls,22.10. 2023,06:30,San Jose Earthquakes,Austin FC
mls,22.10. 2023,06:30,Sporting Kansas City,Minnesota United
mls,22.10. 2023,06:30,St. Louis City,Seattle Sounders
mls,22.10. 2023,06:30,Vancouver Whitecaps,Los Angeles FC
